id;game_questions;acc_questions;tecnical_questions;financial_questions;rules_questions
1;Saudi Riyal Data;Intranet withdrawal Optional;Cambridgeshire eyeballs 24/7;Savings Account;integrated French Guiana
2;revolutionary;bypassing tan;Arizona;Directives;Games Architect transmit
3;Practical firewall;Supervisor Gorgeous;Meadow Granite Maine;Rubber Granite;explicit Croatian Kuna niches
4;Avon Kids even-keeled;Producer cross-platform;Summit;Cambridgeshire orchid navigating;Analyst
5;parsing Facilitator;Sports Personal Loan Account systemic;Lights Configurable;Identity navigating Lebanon;Checking Account circuit
6;bypass synthesizing;Central Borders;Credit Card Account;Small back-end;architect evolve
7;Jewelery;RAM;Towels;Cross-group Beauty JBOD;bypass bluetooth
8;invoice;Fresh quantify;Unbranded American Samoa Refined;Springs index;Infrastructure
9;eco-centric help-desk transmitting;Borders;matrix;olive;Arkansas Buckinghamshire utilize
10;United States Minor Outlying Islands;Unbranded Soft Shoes;Avon bluetooth bluetooth;integrated orchid;Credit Card Account
